book_id,book_title,author,format,publication_year,publication_date,num_pages_final,num_ratings,num_reviews,average_rating,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,ratings_total_from_dist,main_genre,genres_list_clean,num_pages_fill_source,genres_mapped_clean
33275788,Mummies!: Classic Monsters of Pre-Code Horror Comics,Steve Banes,"['128 pages, Paperback']",2017.0,,128.0,56,9,3.66,0,5,21,18,12,56,horror,"horror,comics,graphic novels,pulp",existing_or_parsed,"horror, comics & manga, other / niche"
33288638,Wait for It,Mariana Zapata,"['418 pages, Kindle Edition']",2016.0,2016-12-07,418.0,95455,9785,4.3,1063,2335,11724,32357,47976,95455,romance,"romance,contemporary,contemporary romance,new adult,adult,sports",existing_or_parsed,"romance, contemporary & slice of life, adult fiction, arts & pop culture"
33290344,The Alliance,Chris G. Wright,"['453 pages, Kindle Edition']",2016.0,2016-11-09,453.0,57,25,3.88,6,5,6,13,27,57,science fiction,"science fiction,space opera",existing_or_parsed,science fiction
33290383,Let it Snow,John Green,"['353 pages, Kindle Edition']",2008.0,2008-10-02,353.0,150321,13272,3.68,3248,13024,47182,52377,34490,150321,young adult,"young adult,romance,contemporary,christmas,holiday",existing_or_parsed,"adult fiction, romance, contemporary & slice of life, other / niche"
33290408,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,"['290 pages, Kindle Edition']",1965.0,1965-01-01,290.0,67596,2760,3.96,617,2646,15719,28416,20198,67596,classics,"classics,humor,science fiction,literature,american",existing_or_parsed,"classics, comedy, science fiction, literature & classics, world literature"
33310533,魔道祖师 [Mó Dào Zǔ Shī],Mò Xiāng Tóng Xiù,"['1452 pages, Webnovel']",2015.0,2015-10-31,1452.0,16182,2332,4.63,107,182,837,3339,11717,16182,fantasy,"fantasy,romance,lgbt,china,queer,boys love",existing_or_parsed,"fantasy, romance, lgbtq+, world literature"
33361546,All the Lies,S.T. Abby,"['141 pages, Kindle Edition']",2016.0,2016-12-20,141.0,160925,12503,4.52,335,1520,11365,47991,99714,160925,romance,"romance,dark,thriller,contemporary,mystery,adult,crime",existing_or_parsed,"romance, dark & erotic, mystery & crime, contemporary & slice of life, adult fiction"
33361549,Paint It All Red,S.T. Abby,"['177 pages, Kindle Edition']",2016.0,2016-12-26,177.0,164215,18280,4.56,491,1904,11706,40852,109262,164215,romance,"romance,dark,thriller,contemporary,mystery,adult,crime",existing_or_parsed,"romance, dark & erotic, mystery & crime, contemporary & slice of life, adult fiction"
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"['248 pages, Paperback']",2017.0,2017-10-03,248.0,90308,13426,3.84,1647,6538,22377,33397,26349,90308,horror,"horror,fantasy,feminism,lgbt,queer",existing_or_parsed,"horror, fantasy, philosophy & education & personal development, lgbtq+"
33376821,Sweet Bean Paste,Durian Sukegawa,"['218 pages, Paperback']",2013.0,2013-02-06,218.0,46107,7485,4.07,203,1222,8907,20630,15145,46107,contemporary,"contemporary,japan,japanese literature,literary fiction,asian literature,asia",existing_or_parsed,"contemporary & slice of life, world literature, literature & classics"
33378951,The Midnight Line,Lee Child,"['368 pages, Hardcover']",2017.0,2017-11-07,368.0,80440,5304,4.09,938,2667,14450,32183,30202,80440,thriller,"thriller,mystery,crime,action,suspense,mystery thriller",existing_or_parsed,"mystery & crime, action"
33385438,The Child Finder,Rene Denfeld,"['274 pages, Hardcover']",2017.0,2017-09-05,274.0,43359,5319,3.95,628,2012,9011,18843,12865,43359,mystery,"mystery,thriller,mystery thriller,crime,suspense,adult",existing_or_parsed,"mystery & crime, adult fiction"
33396914,Assassin's Quest,Robin Hobb,"['757 pages, Kindle Edition']",1997.0,1997-03-01,757.0,159797,8484,4.2,1724,5686,23495,56616,72276,159797,fantasy,"fantasy,epic fantasy,high fantasy,dragons,adventure,magic",existing_or_parsed,"fantasy, paranormal & supernatural, adventure"
33539383,The Aureate Spectacles,Eliott McKay,['Paperback'],2013.0,2013-01-28,384.0,101,27,3.86,10,8,13,25,45,101,fantasy,"fantasy,young adult,werewolves,vampires,romance,paranormal",genre_median,"fantasy, adult fiction, dark & erotic, paranormal & supernatural, romance"
33540548,Public Information,Rolf Margenau,"['407 pages, Kindle Edition']",2011.0,2011-06-24,407.0,349,11,4.17,0,0,66,159,124,349,war,"war,drama,adventure,mystery,military fiction,mystery thriller",existing_or_parsed,"world literature, drama, adventure, mystery & crime, historical fiction"
33560584,Tiger and the Robot,Grahame Shannon,"['250 pages, Paperback']",2017.0,2017-01-16,250.0,228,46,4.38,1,5,19,84,119,228,,,existing_or_parsed,other / niche
33574273,A Wrinkle in Time,Madeleine L'Engle,"['218 pages, Paperback']",1962.0,1962-01-01,218.0,1206488,39802,3.98,38357,75583,236414,376323,479811,1206488,fantasy,"fantasy,classics,young adult,science fiction,childrens,middle grade",existing_or_parsed,"fantasy, classics, adult fiction, science fiction, children & pre-teens"
